åüç∏ì˙,ÇoÇbÇqåüç∏åèêî,åãâ Åiózê´Åj,åüç∏ÅiâAê´Åj
2020/1/29,3,0,3
2020/1/30,0,0,0
2020/1/31,1,0,1
2020/2/1,0,0,0
2020/2/2,0,0,0
2020/2/3,0,0,0
2020/2/4,0,0,0
2020/2/5,0,0,0
2020/2/6,0,0,0
2020/2/7,0,0,0
2020/2/8,0,0,0
2020/2/9,0,0,0
2020/2/10,1,0,1
2020/2/11,1,0,1
2020/2/12,0,0,0
2020/2/13,0,0,0
2020/2/14,0,0,0
2020/2/15,0,0,0
2020/2/16,0,0,0
2020/2/17,2,0,2
2020/2/18,2,0,2
2020/2/19,3,0,3
2020/2/20,1,0,1
2020/2/21,0,0,0
2020/2/22,4,0,4
2020/2/23,0,0,0
2020/2/24,1,0,1
2020/2/25,7,0,7
2020/2/26,2,0,2
2020/2/27,2,0,2
2020/2/28,4,0,4
2020/2/29,3,0,3
2020/3/1,1,0,1
2020/3/2,5,0,5
2020/3/3,9,0,9
2020/3/4,3,0,3
2020/3/5,8,0,8
2020/3/6,4,0,4
2020/3/7,6,0,6
2020/3/8,0,0,0
2020/3/9,6,0,6
2020/3/10,6,0,6
2020/3/11,5,0,5
2020/3/12,3,0,3
2020/3/13,5,0,5
2020/3/14,2,0,2
2020/3/15,1,0,1
2020/3/16,4,0,4
2020/3/17,9,1,8
2020/3/18,8,0,8
2020/3/19,15,0,15
2020/3/20,10,0,10
2020/3/21,6,0,6
2020/3/22,4,0,4
2020/3/23,5,0,5
2020/3/24,8,0,8
2020/3/25,9,0,9
2020/3/26,12,0,12
2020/3/27,19,0,19
2020/3/28,7,0,7
2020/3/29,3,0,3
2020/3/30,23,1,22
2020/3/31,33,0,33
2020/4/1,23,0,23
2020/4/2,21,0,21
2020/4/3,24,0,24
2020/4/4,12,0,12
2020/4/5,13,0,13
2020/4/6,24,0,24
2020/4/7,19,0,19
2020/4/8,21,1,20
2020/4/9,43,0,43
2020/4/10,25,1,24
2020/4/11,21,0,21
2020/4/12,17,4,13
2020/4/13,98,11,87
2020/4/14,84,1,83
2020/4/15,112,1,111
2020/4/16,134,1,133
